Business Name,Address,City,State,ZIP Code,Phone,Website,Email,LinkedIn URL,Facebook URL,Instagram URL,Twitter URL,Rating,Reviews,Category,Price Level,Place ID
Dr. Jay Fisher,"311 Summar Dr, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 423-4400,https://www.google.com/maps/search/?api=1&query=Dr.%20Jay%20Fisher&query_place_id=ChIJi5BCQS6hfogR7AE6CXOsMAA,,,,,,,1,Dentist,,ChIJi5BCQS6hfogR7AE6CXOsMAA
Rainey Jr Irvin M DDS,"458 North Pkwy, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 664-2848,https://www.google.com/maps/search/?api=1&query=Rainey%20Jr%20Irvin%20M%20DDS&query_place_id=ChIJ7UdVvkqhfogROQgnjeP1R7g,,,,,,,1,Dentist,,ChIJ7UdVvkqhfogROQgnjeP1R7g
Dove Family Dentistry - Whitehaven,"4097 Elvis Presley Blvd, Memphis, TN 38116",Memphis,Tennessee,38116,(901) 563-3557,https://mydovefamilydentistry.com/?utm_source=google.com&utm_medium=business+profile&utm_campaign=,,,,,,,400,Dentist,,ChIJp8RkjoVj1YcRfeU7roLainI
"Dr. Miral Y. Patel, DDS","1523 S Highland Ave, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 424-6452,https://www.google.com/maps/search/?api=1&query=Dr.%20Miral%20Y.%20Patel%2C%20DDS&query_place_id=ChIJPUe33DqgfogRN-3SVt1_EpM,,,,,,,7,Cosmetic dentist,,ChIJPUe33DqgfogRN-3SVt1_EpM
Rainey Dental Office,"458 North Pkwy, Jackson, TN 38305",Jackson,Tennessee,38305,(731) 664-2848,https://www.google.com/maps/search/?api=1&query=Rainey%20Dental%20Office&query_place_id=ChIJO8RjLrWmfogRY7i0CTTZXiU,,,,,,,8,Dentist,,ChIJO8RjLrWmfogRY7i0CTTZXiU
CORDENTAL Group,"9825 Kenwood Rd Suite 200, Cincinnati, OH 45242",Cincinnati,Ohio,45242,(855) 876-4532,http://www.cordentalgroup.com/,,,,,,,2,Dental clinic,,ChIJ79UMi2dTQIgRaGVHHJoJOOA
Chattanooga Dental Care,"6102 Shallowford Rd # 101, Chattanooga, TN 37421",Chattanooga,Tennessee,37421,(423) 499-9300,https://chattanoogadentalcare.com/,,,,,,,742,Dentist,,ChIJxWu45vBmYIgRTB_FE_INQpU
Dr. Minesh Y. Patel,"1523 S Highland Ave, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 424-6452,http://www.fcdjackson.com/,office@fcdjackson.com,,,,,,2,Dentist,,ChIJPUe33DqgfogRJXW5OCnHWY8
Hub City Family Dentistry,"468 North Pkwy, Jackson, TN 38305",Jackson,Tennessee,38305,(731) 664-5615,http://www.hubcityfamilydentistry.com/,loganschmidt.dds@gmail.com,,,,,,3,Dentist,,ChIJBYlBLYihfogRTHUV2MUX1yw
Rogers Family Dentistry,"8284 Beechmont Ave, Cincinnati, OH 45255",Cincinnati,Ohio,45255,(513) 231-1012,https://www.rogersfamilydentist.com/,,,,,,,822,Dentist,,ChIJkfEUmxGpQYgRLI0zBMnNiAo
Family & Cosmetic Dentistry of Jackson,"1523 S Highland Ave, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 424-6452,http://www.fcdjackson.com/,office@fcdjackson.com,,,,,,83,Dentist,,ChIJPUe33DqgfogRmQ_iIU4RIYY
Dove Family Dentistry - Jackson,"1108 Whitehall St, Jackson, TN 38305",Jackson,Tennessee,38305,(731) 256-0233,https://mydovefamilydentistry.com/locations/whitehall-st-office-jackson-tn/?utm_source=google.com&utm_medium=business+profile&utm_campaign=,,,,,,,912,Dentist,,ChIJ8e9EqCIffIgR2jLRuUMtVUc
McLemore & McLemore DDS,"211 Oil Well Rd, Jackson, TN 38305",Jackson,Tennessee,38305,(731) 424-2651,https://www.mclemoredental.com/,info@mclemoredental.com,,,,,,579,Dentist,,ChIJMT86x4mmfogRMfxNPm_z6HY
"Cynthia A. Overholser, DDS, Thomas Ellisor, DDS","103 Dixie Dr, Lake Jackson, TX 77566",Lake Jackson,Texas,77566,(979) 297-6438,http://www.ljfamilydentistry.com/,,,,,,,5,Dentist,,ChIJGZ_kwY5BQIYRPmIoIKE12Ro
Admire Your Smile,"1600 Southwest Blvd Suite B, Jefferson City, MO 65109",Jefferson City,Missouri,65109,(573) 635-4852,https://www.admireyoursmilellc.com/,admireyoursmile@gmail.com,,,,,,273,Dentist,,ChIJ--T4Cpde24cRvjzy8GgKT2M
Impress Dental Clinic,"Aarti chambers, 203 1st floor, Mahe",Mahe,,,4 322 200,https://www.google.com/maps/search/?api=1&query=Impress%20Dental%20Clinic&query_place_id=ChIJSZEiwsYp4CIR92oNSaRzO9Y,,,,,,,20,Dental clinic,,ChIJSZEiwsYp4CIR92oNSaRzO9Y
German Dental Clinic,Eden Bridge,,,,4 346 605,https://www.google.com/maps/search/?api=1&query=German%20Dental%20Clinic&query_place_id=ChIJR1hl0esp4CIRko_1WhhdHUI,,,,,,,10,Dental clinic,,ChIJR1hl0esp4CIRko_1WhhdHUI
Barnes Family Denistry,"609 Skyline Dr, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 424-6500,http://barnessmiles.com/,office@barnessmiles.com,,,,,,1,Dental clinic,,ChIJRdT8hcuhfogRbLCa-Od8_-U
ITALDENT,"Sunshine House, Providence",Providence,,,4 373 588,https://www.google.com/maps/search/?api=1&query=ITALDENT&query_place_id=ChIJYYUwVb0p4CIR4KjFMwX-KEs,,,,,,,4,Dental clinic,,ChIJYYUwVb0p4CIR4KjFMwX-KEs
Diamond Dent,Mahe,Mahe,,,2 717 270,https://www.google.com/maps/search/?api=1&query=Diamond%20Dent&query_place_id=ChIJf0FfG5zVHyMRLJrMX4weZs4,,,,,,,3,Dental clinic,,ChIJf0FfG5zVHyMRLJrMX4weZs4
Lake Jackson Family Dentistry - Thomas A Ellisor DDS,"103 Dixie Dr, Lake Jackson, TX 77566",Lake Jackson,Texas,77566,(979) 297-6438,https://www.ljfamilydentistry.com/,,,,,,,3,Dentist,,ChIJL_67szVBQIYRuNTTgcnPA7g
"Dental Associates, Inc.","311 Summar Dr, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 423-4400,http://dentalassociatesinc.com/,,,,,,,21,Dentist,,ChIJ6TJqQS6hfogRu7rjgcIi3wg
Donelson Dental Center,"120 Donelson Pike STE 103, Nashville, TN 37214",Nashville,Tennessee,37214,(615) 885-1695,https://www.donelsondentalcenter.com/,,,,,,,221,Dentist,,ChIJW1evLB5pZIgRKIzro4HRdjE
"Adam Cottrill, DMD","2828 Bransford Ave, Nashville, TN 37204",Nashville,Tennessee,37204,(615) 297-5577,http://bionicteeth.com/,frontdesk@bionicteeth.com,,,,,,163,Dentist,,ChIJc4AY-yJlZIgReXDd_fSV2hs
Dr Murthys Dental Clinic,"9FH2+H2J, vasudeen complex, Lodge St, Victoria",Victoria,,,4 224 290,http://drmurthysclinic.com/,vmkmedical@drmuthysclinic.com,,,,,,6,Dental clinic,,ChIJQcJ556op4CIRABrJD5TuBdc
Erin Family Dental,"4889 E Main St, Erin, TN 37061, United States",Erin,Tennessee,37061,+1 931-289-2200,http://erinfamilydental.net/,,,,,,,635,Dental clinic,,ChIJEz_7AFE3e4gRA_D1uy0jTrY
Avrit Matthew DDS,"219 Fairway Dr, Nashville, TN 37214",Nashville,Tennessee,37214,(502) 718-0694,https://www.google.com/maps/search/?api=1&query=Avrit%20Matthew%20DDS&query_place_id=ChIJZ3L82AxpZIgReiMSf-cg_qI,,,,,,,1,Dentist,,ChIJZ3L82AxpZIgReiMSf-cg_qI
"Castle Dental & Orthodontics - Nashville, TN (Nashville Zoo Area)","3907 Nolensville Pk, Nashville, TN 37211",Nashville,Tennessee,37211,(615) 837-4331,https://www.castledental.com/dental-office/nashville-dentist/26090/?utm_source=generic&utm_medium=profiles&utm_campaign=local_profiles,,,,,,,406,Dentist,,ChIJgeu7BZ1vZIgRgUKhezwm7nU
Avenue South Orthodontics,"2220 8th Ave S, Nashville, TN 37204",Nashville,Tennessee,37204,(615) 472-1800,https://www.avenuesouthorthodontics.com/,info@avenuesouthortho.com,,,,,,343,Orthodontist,,ChIJhVOlPdRlZIgR2teGc9_DN08
Carlisle Laurie E DDS,"600 Hill Ave #101, Nashville, TN 37210",Nashville,Tennessee,37210,(615) 329-4790,https://www.google.com/maps/search/?api=1&query=Carlisle%20Laurie%20E%20DDS&query_place_id=ChIJIbvIFutmZIgRK7PaYVkgPR0,,,,,,,3,Dentist,,ChIJIbvIFutmZIgRK7PaYVkgPR0
Emergency Dental Services,"217 Willow St, Nashville, TN 37210",Nashville,Tennessee,37210,(808) 698-0398,https://dentistry-toothtruth.com/office/emergency-dental-services-nashville-tn/,,,,,,,3,Dentist,,ChIJL97ZokJnZIgR5M9mfINuXYI
Dentist,"Nashville, TN 37211",Nashville,Tennessee,,,https://www.google.com/maps/search/?api=1&query=Dentist&query_place_id=ChIJj6InAGpvZIgRMqLJBT5QvRM,,,,,,,1,Dentist,,ChIJj6InAGpvZIgRMqLJBT5QvRM
PSM Dental,"Revolution Ave, Victoria",Victoria,,,4 324 344,http://www.psmdental.com/,go.privatedental@gmail.com,,,,,,31,Dental clinic,,ChIJyTMKVaop4CIR79U_3iK8aSA
Vitality Dental,"2708 Old Elm Hill Pike, Nashville, TN 37214",Nashville,Tennessee,37214,(615) 885-1555,https://vitalitydentaltn.com/?utm_source=google&utm_medium=gbp&utm_campaign=google_business,,,,,,,1214,Dentist,,ChIJkQ11Xl1pZIgR-8mKa9yDhhY
Duciell Dental Care,"419 Church St, Nashville, TN 37219",Nashville,Tennessee,37219,,https://dentalnex.com/,,,,,,,,Dentist,,ChIJ83Xx0pNnZIgRwU18IOlHvgo
Affordable Dentures & Implants,"932 Allen Rd, Nashville, TN 37214",Nashville,Tennessee,37214,(615) 732-8805,https://www.affordabledentures.com/locations/tn/nashville?utm_source=GMB&utm_medium=Organic_Listing&utm_campaign=3067,,,,,,,762,Dentist,,ChIJU0_XNV5pZIgRg4wqeDfTCyo
Barnes David R DDS,"609 Skyline Dr, Jackson, TN 38301",Jackson,Tennessee,38301,(731) 424-6500,http://www.barnessmiles.com/,office@barnessmiles.com,,,,,,18,Dentist,,ChIJmy0PTC6hfogRIjAI0jO0bc8
Williams Eric M DDS,"197 Thompson Ln Suite E, Nashville, TN 37211",Nashville,Tennessee,37211,(615) 837-4525,https://www.google.com/maps/search/?api=1&query=Williams%20Eric%20M%20DDS&query_place_id=ChIJtwkodGBvZIgR8RYzix_j7uI,,,,,,,2,Dentist,,ChIJtwkodGBvZIgR8RYzix_j7uI
Romersa John C DDS,"2828 Bransford Ave, Nashville, TN 37204",Nashville,Tennessee,37204,(615) 383-8834,http://www.johnromersadds.com/,,,,,,,10,Dentist,,ChIJJ1DJg3dkZIgRHyLfhhbU9KQ
Cornerstone Family Dentistry,"404 Welshwood Dr STE A, Nashville, TN 37211",Nashville,Tennessee,37211,(615) 333-3382,http://www.cornerstoneoralhealthcare.com/,Info@CornerstoneDentistryNashville.com,,,,,,322,Dentist,,ChIJMTLOi5tvZIgRYpGd7p962WU
Ideal Dental Melrose,"2335 8th Ave S, Nashville, TN 37204",Nashville,Tennessee,37204,(615) 334-5041,https://www.myidealdental.com/melrose/?utm_source=organic&utm_medium=soci&utm_campaign=websiteurl,,,,,,,279,Dentist,,ChIJg7z_mmRlZIgRa61a-3Mhvuw
Thompson Lane Family Dentistry,"197 Thompson Ln, Nashville, TN 37211",Nashville,Tennessee,37211,(615) 837-4525,https://www.google.com/maps/search/?api=1&query=Thompson%20Lane%20Family%20Dentistry&query_place_id=ChIJ6SjRcLytVq8Rdb5k-DMsqoM,,,,,,,,Cosmetic dentist,,ChIJ6SjRcLytVq8Rdb5k-DMsqoM
Sozit Dental Care,"63 E Thompson Ln, Nashville, TN 37211",Nashville,Tennessee,37211,(615) 730-9393,https://www.google.com/maps/search/?api=1&query=Sozit%20Dental%20Care&query_place_id=ChIJcePGAWpvZIgRbcaqppM4pNA,,,,,,,20,Dental clinic,,ChIJcePGAWpvZIgRbcaqppM4pNA
Clayton Dental Group,"130 Donelson Pike, Nashville, TN 37214",Nashville,Tennessee,37214,(615) 889-7111,https://cdgnashville.com/,smile@cdgnashville.com,,,,,,1206,Dental clinic,,ChIJJ1xD5XxpZIgRFwrcvqhhwYs
Dentistry of Nashville,"2125 Blakemore Ave, Nashville, TN 37212",Nashville,Tennessee,37212,(615) 383-3690,https://dentistryofnashville.com/,lori@dentistryofnashville.com,,,,,,1004,Dentist,,ChIJZQyQ3aFmZIgR1pQXOUXyUHI
Thompson Lane Cosmetic and Family Dentistry,"197 Thompson Ln Suite E, Nashville, TN 37211",Nashville,Tennessee,37211,(615) 837-4525,https://www.google.com/maps/search/?api=1&query=Thompson%20Lane%20Cosmetic%20and%20Family%20Dentistry&query_place_id=ChIJtwkodGBvZIgRsETEk671aug,,,,,,,24,Dentist,,ChIJtwkodGBvZIgRsETEk671aug
Nashville Cosmetic and Implant Dentistry,"2828 Bransford Ave, Nashville, TN 37204",Nashville,Tennessee,37204,(615) 297-5577,https://www.bionicteeth.com/,frontdesk@bionicteeth.com,,,,,,271,Dentist,,ChIJbcEl1MBlZIgRriUroC293Mc
12 South Dental Studio,"2700 12th Ave S, Nashville, TN 37204",Nashville,Tennessee,37204,(615) 832-6300,http://www.12southdentalstudio.com/,info@12southdentalstudio.com,,,,,,479,Cosmetic dentist,,ChIJ0_0r0C9kZIgRg9rGKHW_v4I
Up Pediatric Dentistry,"2829 Columbine Pl, Nashville, TN 37204",Nashville,Tennessee,37204,(615) 440-5188,http://upkidsdentist.com/,smile@upkidsdentist.com,,,,,,122,Pediatric dentist,,ChIJha81mG9lZIgRKPKK0SiCjtY
Berry Hill Dental Group,"2641 8th Ave S, Nashville, TN 37204",Nashville,Tennessee,37204,(615) 784-5104,https://www.berryhilldentalgroup.com/?sc_cid=GBP%3AO%3AGP%3A794%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTU1NzEwNTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,,,,,209,Dentist,,ChIJSfkV-c5lZIgRn6-F_ko4HX4
Tend Dental East Nashville,"962 Woodland St, Nashville, TN 37206",Nashville,Tennessee,37206,(629) 205-2003,https://www.hellotend.com/studios/nashville/east-nashville?utm_source=gmb&utm_medium=organic&utm_campaign=eastnashville+6001&utm_content=web,hello@hellotend.com,,,,,,437,Dentist,,ChIJATLqYvVnZIgRCW-Xukq8gPI
Woodbine Dental Care,"81 Thompson Ln, Nashville, TN 37211",Nashville,Tennessee,37211,(615) 583-4100,https://woodbinedentalcare.com/,info@woodbinedentalcare.com,,,,,,60,Dentist,,ChIJOUrI5xxvZIgRi9jX0MAGs2M
Nashville Smile Creations,"226 Shady Grove Rd, Nashville, TN 37214",Nashville,Tennessee,37214,(615) 889-6816,https://www.nashvillesmilecreations.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13766804610744321077,226smiles@gmail.com,,,,,,498,Dentist,,ChIJmxUq_3ZpZIgRdR8tAxRRY7I
Gray Dental Care PC,"625 Berry Rd, Nashville, TN 37204",Nashville,Tennessee,37204,(615) 385-9400,http://graydentalcaretn.com/,,,,,,,122,Dentist,,ChIJgRGeZ8NlZIgR1hX0PnwAluQ
American Dental Center,"617 Woodland St, Nashville, TN 37206",Nashville,Tennessee,37206,(615) 256-2321,https://www.google.com/maps/search/?api=1&query=American%20Dental%20Center&query_place_id=ChIJLSHugTVmZIgR55dC8GGXjFo,,,,,,,84,Dentist,,ChIJLSHugTVmZIgR55dC8GGXjFo
John G Masso DDS- Belcourt Family Dentistry PC,"705 Craighead St, Nashville, TN 37204",Nashville,Tennessee,37204,(615) 386-0029,https://www.drmasso.com/,%20info@drmasso.com,,,,,,56,Cosmetic dentist,,ChIJNZPosqFmZIgRFNF3-otGs9Q
Horne Mark a DDS,"2831 Bransford Ave #3101, Nashville, TN 37204",Nashville,Tennessee,37204,(615) 292-5524,http://www.nhdentalpartners.com/,office@nhdentalpartners.com,,,,,,578,Dentist,,ChIJy6UBLsdlZIgRTsooQadXQCE
Dr. B and Associates Family & Cosmetic Dentistry,"2531 Park Dr ste b, Nashville, TN 37214",Nashville,Tennessee,37214,(615) 883-7700,https://drbfamily.com/,info@drbfamily.com,,,,,,462,Dentist,,ChIJg-1u1XVpZIgRie-hbPUIa6k
Donelson Smiles Dentistry,"2340 Lebanon Pike, Nashville, TN 37214",Nashville,Tennessee,37214,(615) 830-5008,https://www.donelsonsmilesdentistry.com/?sc_cid=GBP%3AO%3AGP%3A850%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MjUyOTQwMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,,,,,,342,Dentist,,ChIJ4_kpZQtpZIgRsokQ9O4ZGOk
"Nashville Dentist Dr. Terry L. Spurlin, DDS","808 Kirkwood Ave, Nashville, TN 37204",Nashville,Tennessee,37204,(615) 953-2469,https://www.musiccitydental.com/,,,,,,,11,Dentist,,ChIJmxUq_3ZpZIgROXEDtSVvmXo
"Matt McGee, DDS, PC","2827 Bransford Ave, Nashville, TN 37204",Nashville,Tennessee,37204,(615) 298-2385,https://www.mynashvillefamilydentist.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb,,,,,,,200,Dentist,,ChIJj2JwKcdlZIgRZRgEO8_9LEQ
Studio Smile,"2810 Bransford Ave, Nashville, TN 37204",Nashville,Tennessee,37204,(615) 297-8470,http://www.studiosmileofnashville.com/,,,,,,,90,Cosmetic dentist,,ChIJOZxrScFlZIgRlmOOz_gOXG8
Sonrisas Nashville (Dentista),"1009 Murfreesboro Pike #101, Nashville, TN 37217",Nashville,Tennessee,37217,(615) 857-9596,https://sonrisasnashville.com/,,,,,,,513,Dental clinic,,ChIJv1RsH4tvZIgRXS4faQ8_SpY
Hope Smiles,"2908 Sidco Dr, Nashville, TN 37204",Nashville,Tennessee,37204,(615) 324-3904,https://hopesmiles.org/,info@hopesmiles.org,,,,,,10,Dentist,,ChIJYTRESABlZIgR5XODMB2-aIM
Dental Faith Aesthetic & Family Dentistry,"390 Harding Pl # 101, Nashville, TN 37211",Nashville,Tennessee,37211,(615) 285-3949,http://www.dentalfaith.com/,info@dentalfaith.com,,,,,,245,Dentist,,ChIJry11T6JvZIgR8joWBeGZPVM
Katherine Hall DDS,"500 Church St # 430, Nashville, TN 37219",Nashville,Tennessee,37219,(615) 777-2600,http://www.katherinehalldds.com/,DrKatherineHall@gmail.com,,,,,,487,Cosmetic dentist,,ChIJjYUYWVhmZIgRVmTbFD6myco
Dental Design Studios LLC,"145 Thompson Ln, Nashville, TN 37211",Nashville,Tennessee,37211,(615) 432-2388,https://ddsnashville.com/,,,,,,,598,Dentist,,ChIJzRu5a79vZIgRXPz4LFudR1E
Interfaith Dental,"600 Hill Ave, Nashville, TN 37210",Nashville,Tennessee,37210,(615) 329-4790,http://www.interfaithdental.com/,rhonda@interfaithdental.com,,,,,,458,Dental clinic,,ChIJIbvIFutmZIgRkJpXwKxcgRs
Smiles For Life Pa,"23 Spring St, Dexter, ME 04930",Dexter,Maine,04930,(207) 270-1454,https://weence.com/medical/doctors/dexter-1/smiles-for-life-pa/,,,,,,,,Dentist,,ChIJ68s3FgPWr0wRZYQjagIh3p0
Davis Sarah Holly DDS,"Morristown, TN 37814",Morristown,Tennessee,37814,(423) 714-1793,https://www.google.com/maps/search/?api=1&query=Davis%20Sarah%20Holly%20DDS&query_place_id=ChIJVVVVVUWXW4gR8HeWG4HgJpw,,,,,,,,Dentist,,ChIJVVVVVUWXW4gR8HeWG4HgJpw
"Dr. Daniel L. Knight, DDS","2307 W Andrew Johnson Hwy, Morristown, TN 37814",Morristown,Tennessee,37814,(423) 581-8020,https://www.google.com/maps/search/?api=1&query=Dr.%20Daniel%20L.%20Knight%2C%20DDS&query_place_id=ChIJmZcWKdiWW4gRTWtEpq4vJwY,,,,,,,,Dentist,,ChIJmZcWKdiWW4gRTWtEpq4vJwY
"Dr. Zinamong Monzon-Benavides, DDS","222 Bowman St #3, Morristown, TN 37813",Morristown,Tennessee,37813,(423) 318-1185,https://www.google.com/maps/search/?api=1&query=Dr.%20Zinamong%20Monzon-Benavides%2C%20DDS&query_place_id=ChIJaXsRKN6WW4gReGRaiVf1N9k,,,,,,,,Dentist,,ChIJaXsRKN6WW4gReGRaiVf1N9k
Fort View Dental,"154 Main St, Bucksport, ME 04416",Bucksport,Maine,04416,(207) 469-2912,https://www.fortviewdental.com/,frontdesk@fortviewdental.com,,,,,,14,Dentist,,ChIJO42_oLpcrkwRYVgDJTmQROM
Jackson Family Dental,"607 W Due West Ave #110, Madison, TN 37115",Madison,Tennessee,37115,(615) 868-2476,https://www.google.com/maps/search/?api=1&query=Jackson%20Family%20Dental&query_place_id=ChIJjbSQqi1dZIgRTwNfLpesYdA,,,,,,,18,Dentist,,ChIJjbSQqi1dZIgRTwNfLpesYdA
Hermon Family Dental,"246 Billings Rd, Hermon, ME 04401",Hermon,Maine,04401,(207) 848-3384,http://www.hermonfamilydental.com/,,,,,,,37,Dentist,,ChIJUegaYvFKrkwR6oTu5SpImJA
Downtown Dental,"101 Union St N, Nashville, TN 37201",Nashville,Tennessee,37201,(615) 254-1393,http://www.downtowndentalnashville.com/,,,,,,,405,Dentist,,ChIJQ_XsUFdmZIgRwZdVVZTOJuI
